podcast_id,episode_titre,url,description,theme,release_date,podcast_titre
7JyjjDJ6benEc2LFRoW3Yy,"'Avec l'IA, il faut revenir à l'essentiel du métier de l'information' - Regards d'une experte de l'innovation dans les médias, Kati Bremme, France Télévision - #104",https://open.spotify.com/embed/episode/13an17ccgwIh0Hou8d2VFY,"Comment les médias traditionnels s'adaptent-ils à l'IA ? Que devient le métier de journaliste ? Comment adopter l'IA sans perdre sa crédibilité ? Pour comprendre ce qui se trame avec l'arrivée de l'IA générative dans les rédactions, j'ai reçu Kati Bremme, directrice de l'innovation de France TV et rédactrice en chef de Meta-media.fr, un média qui analyse les tendances de l'innovation.Nous parlons de transformation du métier de journaliste face à l’IA, d’IA agentique, de mise en place de l’IA dans les processus et des challenges de l’adoption, d’infobésité et des risques qui pèsent sur la qualité de l’information, de genre et de plafond de verre dans les pays communistes - Kati a grandi en l’Allemagne de l’Est, de sa position sur les quotas et puis bien sûr elle partage quelques unes de ses références. RéférencesLe livre “Empire of AI” de Karen HaoSon émission : le podcast Newsroom Robots de Nikita RoyCelles qu’elle admire : Valentina Tereshkova, la première femme à avoir été dans l’espace et Virginia Woolf, l’écrivaine anglaise autrice de “La Chambre à soi”“Inspire” de Adam Galinski , cité par AurélieL’article du Gartner sur l’IA agentique “Over 40% of agentic AI projects will be canceled by the end of 2027, due to escalating costs, unclear business value or inadequate risk controls”Chapitres 00:00 Introduction et Présentation de l'Invitée01:24 L'Innovation dans les Médias et l'IA04:15 Expériences Immersives et Engagement du Public05:28 Les Défis de l'Industrie Médiatique07:41 Tendances de l'IA Générative dans les Médias10:23 La Qualité de l'Information à l'Ère de l'IA13:08 Formation des Journalistes et Compréhension de l'IA19:03 L'importance de la formation à l'IA20:05 Choix des outils d'IA et préférences23:17 Défis de l'adoption de l'IA dans les rédactions25:25 Peur du remplacement par l'IA26:49 Limites de l'IA générative28:35 Transformation des métiers face à l'IA30:36 Rôle des médias dans la désinformation37:48 Parcours atypique et passion pour la technologie40:28 Arrivée en France et Changement de Culture43:04 Éducation et Égalité des Genres44:57 Congés Maternité et Équilibre Travail-Famille46:44 Livres Marquants et Inspirations Littéraires49:34 Modèles Féminins et Inspirations52:48 Plafond de Verre et Quotas56:17 Apprentissage des Langues et Culture57:21 Conseils à Soi-Même et Réflexions sur le Passé58:30 Importance de l'Intelligence Humaine face à l'IA01:01:41 Cultiver l'Imagination ❤️Si tu as aimé l’épisode, merci de liker, faire un commentaire, t’abonner et partager ! Plus d’infos sur https://www.techlipstick.com/Suis le podcast sur LinkedIn https://www.linkedin.com/company/techlipstick/Contacte Aurélie sur LinkedIn https://www.linkedin.com/in/aurelie-giard-nyc/Retrouve nous sur Instagram https://www.instagram.com/",IA,2025-07-11,TechLipstick
7JyjjDJ6benEc2LFRoW3Yy,"Les femmes doivent s'emparer du pouvoir de l'informatique et de l'IA - Sarah Cohen-Boulakia, institut Data IA de Paris Saclay",https://open.spotify.com/embed/episode/3Mu964g6lIZZgm2w7rmxTj,"« L’informatique, ça peut – et ça doit – être féminin. »Dans cet épisode coup de poing, Sarah Cohen-Boulakia, professeure à l’Université Paris-Saclay et directrice adjointe de l’institut DataIA, démonte les clichés sur les femmes et les sciences avec une franchise rafraîchissante.De son stage de 3e au Généthon à son engagement dans la bioinformatique, Sarah partage un parcours inspirant, drôle, lucide – et de son combat pour que les filles prennent le pouvoir des sciences. Ensemble, on parle de :l’importance de la pluridisciplinarité pour attirer plus de filles dans les sciences,des ravages de la réforme du bac sur les vocations scientifiques féminines,du challenge de l'enseignement de et avec l'IAdu pouvoir économique de l’informatique que les femmes doivent s’approprier,et de l’usage très genré des IA génératives dans l’enseignement et la recherche.Un échange sans filtre sur les biais, les plafonds de verre, les batailles à mener… et les raisons d’espérer.🎙️ Un épisode à écouter d’urgence si tu veux comprendre pourquoi féminisme et tech ne devraient jamais être dissociés.❤️Si tu as aimé l’épisode, merci de liker, faire un commentaire, t’abonner et partager ! Plus d’infos sur https://www.techlipstick.com/Suis le podcast sur LinkedIn https://www.linkedin.com/company/techlipstick/Contacte Aurélie sur LinkedIn https://www.linkedin.com/in/aurelie-giard-nyc/Retrouve nous sur Instagram https://www.instagram.com/",IA,2025-06-27,TechLipstick
7JyjjDJ6benEc2LFRoW3Yy,"Révolutionner la production laitière avec une solution écologique - Hélène Briand, co-fondatrice de Verley - #102",https://open.spotify.com/embed/episode/6RtR9niulxJG52NrGKrBup,"Et si le lait du futur ne venait plus des vaches ?Dans cet épisode enregistré à VivaTech, je reçois Hélène Briand, co-fondatrice de Verley, une startup française de biotechnologie qui révolutionne les protéines laitières grâce à la fermentation de précision.Une conversation passionnante sur :Son parcours unique d’agronome en AsieLa création de protéines sans animauxLes enjeux globaux de nutrition durableSa participation au Female Founder ChallengeUn épisode qui mêle science, conviction, plaisir de manger… et beaucoup de courage entrepreneurial.🎧 À écouter d’urgence si tu t’intéresses à l’innovation responsable et à la souveraineté alimentaire.",entrepreneuriat,2025-06-20,TechLipstick
7JyjjDJ6benEc2LFRoW3Yy,"Quitter un poste en vue pour changer des vies - Anthony Babkine, co-fondateur de Diversidays #101",https://open.spotify.com/embed/episode/0elCNWi0gLmN7kdJskL12N,"Quand t’es un enfant des quartiers ou de la France rurale, t’entends rarement ‘tu peux y arriver’. Anthony Babkine a décidé de changer ça.Anthony a connu l'échec scolaire avant de trouver sa voie dans le numérique. Diplôme de l'IMT- Business school en poche, il devient un expert du marketing digital. A 30 ans, il est nommé directeur adjoint du numérique de TBWA. Pour des raisons qu'il partage dans notre discussion, il plaque tout pour se consacrer à Diversidays, une association d'égalité des chances en faveur de l'inclusion numérique qui soutient notamment l'entrepreneuriat.Il est un allié indéfectible et enthousiaste de toutes celles et ceux qui n'ont pas toutes les chances de leur côté, à cause de leurs origines, classe sociale, handicap, genre ou lieu de vie. Embarque avec nous pour cette discussion sans fards où Anthony fait toute la lumière sur son parcours de vie, les raisons de son engagement et partage les belles réussites de celles et ceux qui l'accompagnent.❤⭐Chapitres :00:00 – Introduction & hommage à Sandrine Delage01:20 – L’échec scolaire et le poids des représentations sociales03:00 – Le numérique comme mission d’égalité des chances05:00 – Vivre en zone rurale : les défis invisibles de l’inclusion numérique07:30 – Reconversion, handicap, âge, diplôme : lever les freins12:00 – TBWA : ascension fulgurante… et perte de sens16:30 – Burnout, retour aux racines et choc de valeurs20:00 – Les débuts de Diversidays : faire émerger d’autres rôles modèles27:00 – Mentorat et leadership : rendre visibles les invisibles33:00 – Le podcast ""Prends ta place"" : les doutes comme force39:00 – Tisser des ponts entre vulnérabilités et talents45:00 – Conclusion : réparer l’injustice par la reconnaissanceSi tu as aimé l’épisode, merci de liker, faire un commentaire, t’abonner et partager !Plus d’infos sur ⁠https://www.techlipstick.com/⁠Suis le podcast sur LinkedIn ⁠https://www.linkedin.com/company/techlipstick/⁠Contacte Aurélie sur LinkedIn ⁠https://www.linkedin.com/in/aurelie-giard-nyc/⁠Retrouve nous sur Instagram ⁠https://www.instagram.com/⁠",entrepreneuriat,2025-06-14,TechLipstick
7JyjjDJ6benEc2LFRoW3Yy,"Les 3 ans de Techlipstick : mission, retour d'expérience et évolution des sujets tech - #100",https://open.spotify.com/embed/episode/5FTLtJF2IokImd4rOTdlmQ,"Cet épisode célèbre le 100ème épisode du podcast, marquant trois ans d'existence. Si tu découvres le podcast, commence par là !Aurélie Giard partage ses réflexions sur son parcours, l'importance de donner de la visibilité aux femmes dans la tech, et les leçons apprises au fil des épisodes. Elle aborde également l'évolution de son approche en tant qu'hôte et donne des conseils aux aspirants podcasters.Références :Festival ""C'est qui la boss"" le 19 juinLe livre ""Inspire"" d'Adam GalinskiL'épisode 6 avec Imène Maharzi",IA,2025-05-30,TechLipstick
7JyjjDJ6benEc2LFRoW3Yy,"Le sexisme est l'affaire de tous - Adrien Chaltiel, serial entrepreneur et investisseur, co-fondateur de Men at Work - #99",https://open.spotify.com/embed/episode/0XZ0JpVLJ2DDCz037zj9IN,"Business angel, fondateur d’Eldorado.co, activiste engagé dans Board Project et Men at Work, Adrien Chaltiel a fait un choix rare : celui de détricoter ses privilèges pour devenir un allié actif du changement.Dans cet épisode, il partage son parcours de déconstruction, ses prises de conscience, et sa volonté d’incarner une autre vision de la réussite.🔥 Au programme :Pourquoi lever des fonds est (encore) un parcours genréComment agir à différents niveaux, pas forcément militantCe que ça change, concrètement, de bosser avec des femmes puissantes comme Tatiana Jama, Laura Bokobza, Inès Hamy, ou encore Valentine de LasteyrieLes initiatives qui rebattent les cartes : Leia Capital, Olympe Capital, WinEquity, EqualTimeMais aussi :📚 Le genre du capital de Céline Bessière🎙️ Les podcasts de référence :— Dans la tête d’un CEO – Tatiana Jama— GDIY – Céline Lazorthes— Fondation des Femmes – Corinne Hirsch— Lucile Quillet— Les Couilles sur la table💬 “Ça provoque beaucoup de bonheur. J'en suis le témoin. On peut incarner la réussite sociale et l'humilité. On n'est pas obligé d’être Elon Musk. Ce n’est pas un sujet de bien-pensance. C’est une question de bonheur personnel. Bonheur dans son couple, bonheur dans sa famille.” — Adrien Chaltiel🟣 Cet épisode, c’est une invitation à revoir nos modèles.Pas pour culpabiliser. Pour mieux aimer. Mieux travailler. Mieux s’engager.Si tu crois, toi aussi, qu’on peut faire rimer tech, business et égalité, écoute, partage, et viens en discuter sur LinkedIn !_____________Si tu as aimé l’épisode, merci de liker, faire un commentaire, t’abonner et partager ! Plus d’infos sur https://www.techlipstick.com/Suis le podcast sur LinkedIn https://www.linkedin.com/company/techlipstick/Contacte Aurélie sur LinkedIn https://www.linkedin.com/in/aurelie-giard-nyc/Retrouve nous sur Instagram https://www.instagram.com/",entrepreneuriat,2025-05-16,TechLipstick
7JyjjDJ6benEc2LFRoW3Yy," ""On n'a pas donné l'opportunité aux femmes de prouver leurs compétences"" -Guy Mamou-Mani, ex-coprésident du Groupe Open #98",https://open.spotify.com/embed/episode/5m9up2eKtI4S4WPknysJPk,"Guy Mamou-Mani n’a pas attendu la loi pour mettre en place des mesures en faveur de l’égalité femme-homme dans l’entreprise qu’il a dirigée pendant 24 ans, l’ESN Open (400 M€ de CA, 4000 personnes), désormais dirigée par Valérie Benvenuto. Lors de la mise en place de l’indice Penicaud, Open se classe immédiatement en tête de son secteur.Nous parlons des raisons qui ont poussé ce patron à s’engager sur ce sujet, à initier le mouvement “Jamais sans elle”, et aussi de quotas, d’intelligence artificielle, de sexisme, de voyages…TakeawaysL'égalité femmes-hommes est essentielle dans le monde professionnel.Les entreprises doivent s'engager activement pour l'égalité.Le sexisme reste un obstacle majeur à l'égalité.Les compétences ne devraient pas être le seul critère de sélection.Il est crucial de donner des opportunités aux femmes.L'intelligence artificielle peut être un outil pour l'égalité.Les hommes peuvent être des alliés dans cette lutte.La prise de parole des femmes doit être encouragée.Les conseils d'administration doivent refléter la diversité.Le changement nécessite un engagement à long terme.Chapitres00:00 Engagement pour l'Égalité et la Mixité dans le Numérique01:02:35 Importance de la Présence Féminine dans le Numérique01:05:18 Rôle des Hommes comme Alliés dans la Mixité01:08:18 Expériences et Anecdotes au sein d'Open01:11:16 Égalité Salariale et Indice Pénicaud01:14:34 Défis de la Représentation Féminine dans les Équipes Techniques01:17:25 Quotas et Recommandations pour l'Égalité01:20:27 Sexisme en Entreprise et Environnement de Travail01:23:14 Conclusion et Perspectives d'Avenir01:28:46 L'intégration des femmes dans le numérique01:33:50 Encourager l'entrepreneuriat féminin01:38:38 La nécessité de la diversité dans les entreprises01:41:10 Vers un numérique plus humain01:45:32 L'impact de l'IA sur la société01:49:15 Recommandations de lecture et réflexions personnelles",entrepreneuriat,2025-04-25,TechLipstick
7JyjjDJ6benEc2LFRoW3Yy,"Donner à tous les super-pouvoirs du numérique - Frédéric Bardeau, président de Simplon - #97",https://open.spotify.com/embed/episode/0cxf2uil8M1KvmiR9C2JT3,"Une conversation lucide sur l'impact social du numérique, la montée en puissance de l'IA, et l’urgence de repenser la formation au numérique avec Frédéric Bardeau, pionnier du numérique responsable, cofondateur de Simplon.coDans cet échange, Frédéric démonte les idées reçues sur le digital, en rappelant que « le numérique, c’est 80 % de matériel » — et donc loin d’être dématérialisé. Son regard critique mais constructif offre un véritable manuel de survie pour tout professionnel ou professionnelle qui veut naviguer dans l’ère de l’IA sans perdre sa boussole éthique.Au programme :Définition du numérique responsable : « C’est le RSE du numérique. On y parle d’écologie, de droits humains, d’accessibilité, de biais algorithmiques... »L’IA dans la ligne de mire : Frédéric alerte sur les promesses et dérives de l’IA générative, « un driver business qui défonce les bilans carbone » et accentue les inégalités.La fracture numérique : plus de 13 millions de personnes en France sont en difficulté numérique. « Ce n’est pas qu’un sujet de seniors ou de réfugiés, il y a aussi de l’illectronisme chez les jeunes ! »Le projet Simplon.co : 120 écoles dans 25 pays, 35 000 personnes formées, 40 % de femmes. Une ambition : « démocratiser les super-pouvoirs du numérique » à tous les profils.Des formations numériques inclusives : des bootcamps pour apprendre la tech autrement, en particulier pour les femmes, avec des programmes dédiés comme GenIA.Être un homme allié : Frédéric partage avec humour et humilité ses erreurs 📚 Les références évoquées dans l’épisode :📖 LivresAtlas of AI – Kate Crawford : « L’IA est une industrie extractive : métaux, données, travail... »L’Enfer numérique / Le voyage du clic – Guillaume PitronLa main gauche de la nuit, Les dépossédés – Ursula K. Le GuinŒuvres de Becky Chambers🎙 Émissions et podcastsThinkerview : « Une université gratuite sur YouTube »Les couilles sur la table (Binge Audio) – Pour une perspective féministe sur la masculinité📌 Concepts & initiativesIA Act et RGPD : régulations à suivre de prèsJustice League des collectifs associatifsDonnée sociologique-clé : en Malaisie, 50 % des développeurs sont des femmesRègles d’Anonymous : “There is no girl on the Internet” 😡🎯 Tu veux comprendre comment concilier impact social, transition numérique et intelligence artificielle sans perdre ton âme (ni la planète) ? Cet épisode est un must. À écouter en courant, dans le métro ou au bureau — mais en conscience.Si tu as aimé l’épisode, merci de liker, faire un commentaire, t’abonner et partager ! Plus d’infos sur https://www.techlipstick.com/Suis le podcast sur LinkedIn https://www.linkedin.com/company/techlipstick/Contacte Aurélie sur LinkedIn https://www.linkedin.com/in/aurelie-giard-nyc/Retrouve nous sur Instagram https://www.instagram.com/Chapitres :00:00 Introduction au numérique responsable02:13 Les enjeux de l'IA et du numérique responsable05:22 Impact écologique du numérique08:18 Parcours personnel et engagement dans le numérique10:39 Fracture numérique et inclusion13:56 Les défis de l'éducation numérique16:42 Attirer et retenir les femmes dans le numérique19:11 L'impact culturel sur la représentation des femmes dans le numérique22:07 Déconstruire les stéréotypes autour des métiers du numérique25:42 Stratégies pour favoriser l'inclusion des femmes dans le numérique29:23 Le rôle des alliés dans la promotion de l'égalité des sexes31:06 Qualités et compétences nécessaires pour travailler dans le numérique37:25 L'inclusion des profils neuroatypiques dans le secteur numérique40:20 Modèle économique et financement de la formation dans le numérique41:17 Les défis de l'entrepreneuriat social43:36 Les souhaits pour un avenir durable45:55 L'importance de la coopération dans le secteur social48:24 Les modèles de financement et la compétition51:11 Inspirations et références dans le domaine de la tech58:35 Conclusion",entrepreneuriat,2025-04-04,TechLipstick
7JyjjDJ6benEc2LFRoW3Yy,"Démultiplier l'impact des assos avec le numérique - Marie Bellocq, co-fondatrice de Share It -Spécial Podcasthon - #96 ",https://open.spotify.com/embed/episode/7H71Xd9zdemHEUDfYLFcF3,"Quand la tech devient un levier d’impact pour les associations, avec Marie Bellocq (Share it)Dans cet épisode enregistré à l’occasion du Podcasthon 2025, je reçois Marie Bellocq, cofondatrice de l’association Share it, qui transforme la manière dont les associations peuvent utiliser la technologie pour amplifier leur impact social et environnemental.Tu crois encore que la transformation numérique, le no-code ou l’intelligence artificielle sont réservés aux startups ? Détrompe-toi. Share it, c’est une équipe hybride (experts tech salariés + mécénat de compétences) qui co-construit gratuitement des solutions digitales sur mesure avec les associations les plus engagées.Marie nous partage une vision claire : la tech for good, ce n’est pas juste un slogan, c’est une méthode. Et c’est surtout un moyen concret de résoudre des problèmes bien réels : violences faites aux femmes, inclusion des personnes en situation de handicap, emploi des jeunes…Au programme :Le fonctionnement unique de Share it et son modèle de mécénat de compétencesDes exemples de projets inspirants comme Staying Alive (application de secours pour les arrêts cardiaques) ou MaVoie.org (orientation pro via chatbot IA)Comment le low-code et no-code changent la donne pour des structures sans budget techL’arrivée de l’IA générative et ses premiers cas d’usage concrets dans les associationsLes freins que rencontrent les assos… et les solutions concrètes pour les leverOn parle aussi inclusion numérique, frugalité technologique, données, et de l’urgence à ne pas laisser les assos sur le bas-côté de la révolution digitale. Car oui, l’IA peut servir à remplir des dossiers de subvention plus rapidement ou à concevoir des chatbots pour accompagner les publics vulnérables.💬 Une citation qui résume tout :“On veut éviter que les associations soient une fois de plus exclues d’un boom technologique. L’IA, comme le digital, peut démultiplier leur impact – à condition qu’on leur donne les bons outils.”À travers son parcours — de Sarenza au e-commerce jusqu’à la direction d’une équipe tech engagée —, Marie incarne cette nouvelle génération de femmes qui mettent leur expertise au service du bien commun. Elle partage aussi ses réflexions sur l’influence, le plaidoyer, et l’envie de porter ce sujet à l’échelle nationale.Si tu veux comprendre comment la tech peut changer le monde associatif, c’est l’épisode qu’il te faut. Bonne écoute !RéférencesDans leurs pas. Réalités fabulées de 2061 neuf nouvelles où les auteurs imaginent le futur avec l'intelligence artificielle.L'épisode de THe Big Shift avec Lou et Théo de Dataforgood sur ""L'IA est une bombe climatique""Lucie de ClerckChapitres00:00 Présentation de Marie Bellocq et de Share it01:41 Les défis des associations face au digital04:20 Solutions digitales pour les entrepreneurs sociaux07:13 L'impact des outils NoCode10:04 Intégration de l'IA dans les associations12:57 Le rôle des femmes dans l'entrepreneuriat social13:51 L'impact des femmes dans les projets14:48 Le mécénat de compétences : un dispositif unique17:20 Les entreprises et leur engagement social19:41 Hackathon IA for Good : des projets innovants25:22 Sélection et impact des projets associatifs27:38 Le rôle de la technologie dans l'économie sociale34:50 Parcours de Marie Bellocq : de la tech à l'associatif40:16 Introduction et parcours inspirant41:26 Compétences et plaidoyer dans la tech43:48 Inspirations et figures féminines46:34 Livres et ressources recommandés49:25 Engagement et causes importantes49:58 Introduction à l'impact associatif et digital50:22 Présentation de Podcasthon et de ses objectifs",entrepreneuriat,2025-03-21,TechLipstick
7JyjjDJ6benEc2LFRoW3Yy,"Leader au plus niveau dans la tech - Caroline Thelier, ex-DG France et VP aux US chez Paypal #95",https://open.spotify.com/embed/episode/0Gq4TC6RxXoM2LGfSICBaG,"De Product Manager à VP Go-To-Market chez PayPal, en passant par la direction commerciale et la direction générale en France, puis un départ à New York… Caroline Thelier a un parcours impressionnant, marqué par des pivots stratégiques, des prises de risque et une vraie réflexion sur le leadership.Dans cet épisode enregistré en live en janvier 2025 dans un évènement organisé en partenariat avec Comète, elle partage :✅ Comment elle a su se rendre visible en interne pour évoluer,✅ Pourquoi demander de l’aide est une force et non une faiblesse,✅ Ce qu’elle a appris en passant de la tech au coaching et à l’accompagnement des leaders, ✅ La clé pour créer des relations professionnelles solides : « Je trouve que développer des relations vraiment authentiques, honnêtes permet d'atteindre des objectifs incroyables dans le business, mais aussi de développer des relations de travail qui sont super riches. »Un échange passionnant sur la carrière, l’ambition et la transmission.Chapitres00:00 Introduction au Podcast et Présentation de Caroline01:20 Parcours Professionnel de Caroline chez PayPal04:08 Défis et Leçons Apprises dans le Développement de Produits09:36 Culture de l'Échec et Apprentissage chez PayPal11:00 Qualités de Leadership et Relations Humaines14:24 Retour de Congé Maternité et Évolution de Carrière19:52 Enjeux de PayPal en France et Proposition de Valeur22:33 Arrivée à New York et Défis du COVID-1924:04 Défis de l'interaction à distance24:27 Accomplissements et fierté professionnelle25:11 Gestion des équipes à l'international25:38 Retour en France et nouveaux défis26:30 Transition vers le coaching27:54 Formation et certification en coaching29:17 Nouvelle aventure professionnelle31:21 Réflexions sur l'orientation professionnelle34:06 Inspiration et modèles féminins34:53 Livres et ressources recommandés37:04 Engagement pour l'orientation des jeunes44:41 Introduction et appel à l'audience",IA,2025-03-07,TechLipstick
