Métier,Catégorie,Description_FR
3D Computer Vision Researcher,Data & IA,"3D Computer Vision Researcher : exploite les données et développe des modèles d’IA pour produire des insights ou des prédictions. Compétences et technologies clés : Python, SQL, Machine Learning, TensorFlow, PyTorch, ETL, Big Data, Pandas, Scikit-learn."
AI Scientist,Data & IA,"AI Scientist : exploite les données et développe des modèles d’IA pour produire des insights ou des prédictions. Compétences et technologies clés : Python, SQL, Machine Learning, TensorFlow, PyTorch, ETL, Big Data, Pandas, Scikit-learn."
Analytics Engineer,Data & IA,"Analytics Engineer : exploite les données et développe des modèles d’IA pour produire des insights ou des prédictions. Compétences et technologies clés : Python, SQL, Machine Learning, TensorFlow, PyTorch, ETL, Big Data, Pandas, Scikit-learn."
Applied Data Scientist,Data & IA,"Applied Data Scientist : exploite les données et développe des modèles d’IA pour produire des insights ou des prédictions. Compétences et technologies clés : Python, SQL, Machine Learning, TensorFlow, PyTorch, ETL, Big Data, Pandas, Scikit-learn."
Applied Machine Learning Scientist,Data & IA,"Applied Machine Learning Scientist : exploite les données et développe des modèles d’IA pour produire des insights ou des prédictions. Compétences et technologies clés : Python, SQL, Machine Learning, TensorFlow, PyTorch, ETL, Big Data, Pandas, Scikit-learn."
BI Data Analyst,Data & IA,"BI Data Analyst : exploite les données et développe des modèles d’IA pour produire des insights ou des prédictions. Compétences et technologies clés : Python, SQL, Machine Learning, TensorFlow, PyTorch, ETL, Big Data, Pandas, Scikit-learn."
Backend Developer,Développement Web,"Backend Developer : crée des sites ou applications web côté front‑end et/ou back‑end. Compétences et technologies clés : JavaScript, HTML, CSS, React, Node.js, Django, PHP, REST API, TypeScript."
Big Data Architect,Data & IA,"Big Data Architect : exploite les données et développe des modèles d’IA pour produire des insights ou des prédictions. Compétences et technologies clés : Python, SQL, Machine Learning, TensorFlow, PyTorch, ETL, Big Data, Pandas, Scikit-learn."
Big Data Engineer,Data & IA,"Big Data Engineer : exploite les données et développe des modèles d’IA pour produire des insights ou des prédictions. Compétences et technologies clés : Python, SQL, Machine Learning, TensorFlow, PyTorch, ETL, Big Data, Pandas, Scikit-learn."
Business Data Analyst,Data & IA,"Business Data Analyst : exploite les données et développe des modèles d’IA pour produire des insights ou des prédictions. Compétences et technologies clés : Python, SQL, Machine Learning, TensorFlow, PyTorch, ETL, Big Data, Pandas, Scikit-learn."
Cloud Data Engineer,Data & IA,"Cloud Data Engineer : exploite les données et développe des modèles d’IA pour produire des insights ou des prédictions. Compétences et technologies clés : Python, SQL, Machine Learning, TensorFlow, PyTorch, ETL, Big Data, Pandas, Scikit-learn."
Computer Vision Engineer,Data & IA,"Computer Vision Engineer : exploite les données et développe des modèles d’IA pour produire des insights ou des prédictions. Compétences et technologies clés : Python, SQL, Machine Learning, TensorFlow, PyTorch, ETL, Big Data, Pandas, Scikit-learn."
Computer Vision Software Engineer,Data & IA,"Computer Vision Software Engineer : exploite les données et développe des modèles d’IA pour produire des insights ou des prédictions. Compétences et technologies clés : Python, SQL, Machine Learning, TensorFlow, PyTorch, ETL, Big Data, Pandas, Scikit-learn."
Data Analyst,Data & IA,"Data Analyst : exploite les données et développe des modèles d’IA pour produire des insights ou des prédictions. Compétences et technologies clés : Python, SQL, Machine Learning, TensorFlow, PyTorch, ETL, Big Data, Pandas, Scikit-learn."
Data Analytics Engineer,Data & IA,"Data Analytics Engineer : exploite les données et développe des modèles d’IA pour produire des insights ou des prédictions. Compétences et technologies clés : Python, SQL, Machine Learning, TensorFlow, PyTorch, ETL, Big Data, Pandas, Scikit-learn."
Data Analytics Lead,Data & IA,"Data Analytics Lead : exploite les données et développe des modèles d’IA pour produire des insights ou des prédictions. Compétences et technologies clés : Python, SQL, Machine Learning, TensorFlow, PyTorch, ETL, Big Data, Pandas, Scikit-learn."
Data Analytics Manager,Data & IA,"Data Analytics Manager : exploite les données et développe des modèles d’IA pour produire des insights ou des prédictions. Compétences et technologies clés : Python, SQL, Machine Learning, TensorFlow, PyTorch, ETL, Big Data, Pandas, Scikit-learn."
